Address,City,State,ZIP,Desc,Detail,Price Num,Num Photos Text,Num Photos,Photo URL,Pg Number
429 Davis St,Kalamazoo,MI,49007,Apartment For Sale,"$90,000Studio · -- ba · 3,095 sqft; 11 days on Zillow·429 Davis St, Kalamazoo, MI; Five Star Real Estate",90000,1 photo,1,https://photos.zillowstatic.com/p_e/ISije7wyled9i81000000000.jpg,4
3328 Random Rd,Kalamazoo,MI,49004,Auction,"$73K3 bds · -- ba · 1,016 sqft; 19 days on Zillow·3328 Random Rd, Kalamazoo, MI",73,5 photos,5,https://photos.zillowstatic.com/p_e/ISqhq1ljucrqq30000000000.jpg,4
Random Rd,Kalamazoo,MI,49004,Foreclosure,"-- bds · -- ba · -- sqft; 263 days on Zillow·Random Rd, Kalamazoo, MI",,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.324000,-85.553000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",4
3441 Kenbrooke Ct,Kalamazoo,MI,49006,Condo For Sale,"$44,9531 bd · 1 ba · 682 sqft; $5,000 (Mar 31)·3441 Kenbrooke Ct, Kalamazoo, MI",449531; 5000,15 photos,15,https://photos.zillowstatic.com/p_e/ISu4jiso5yijz90000000000.jpg,4
1116 Bronson Ave,Kalamazoo,MI,49048,House For Sale,"$32,0833 bds · 1 ba · 908 sqft; 26 days on Zillow·1116 Bronson Ave, Kalamazoo, MI",320833,18 photos,18,https://photos.zillowstatic.com/p_e/ISustac391745o0000000000.jpg,4
2220 Sagebrush St,KALAMAZOO,MI,49006,New Construction,"$198,9003 bds · 3 ba · 2,040 sqft; Allen Edwin Homes·2220 Sagebrush St, Kalamazoo, MI",1989003,3 photos,3,https://photos.zillowstatic.com/p_e/ISu0kg44qa54kt1000000000.jpg,4
4040 Greenleaf Cir APT 408,Kalamazoo,MI,49008,Condo For Sale,"$117,5001 bd · 1 ba · 875 sqft; 25 days on Zillow·4040 Greenleaf Cir APT 408, Kalamazoo, MI; Greenleaf Realty Properties LLC",1175001,22 photos,22,https://photos.zillowstatic.com/p_e/ISeg1cffms9vdi0000000000.jpg,4
2223 S Rose St,Kalamazoo,MI,49001,House For Sale,"$284,9003 bds · 3 ba · 2,638 sqft; $10,000 (Apr 4)·2223 S Rose St, Kalamazoo, MI; Chuck Jaqua, REALTOR, Inc.",2849003; 10000,18 photos,18,https://photos.zillowstatic.com/p_e/ISm6jpc1up33201000000000.jpg,4
3921 Lakeside Dr,Kalamazoo,MI,49008,House For Sale,"$729,9006 bds · 6 ba · 5,914 sqft; 10 days on Zillow·3921 Lakeside Dr, Kalamazoo, MI",7299006,56 photos,56,https://photos.zillowstatic.com/p_e/ISibo92mo9iynl1000000000.jpg,4
3000 Riverview Dr,Kalamazoo,MI,49004,House For Sale,"$450,0005 bds · 5 ba · 7,040 sqft; 25 days on Zillow·3000 Riverview Dr, Kalamazoo, MI; O'Brien Real Estate",4500005,1 photo,1,https://photos.zillowstatic.com/p_e/IS2376sa5lhtx80000000000.jpg,4
1035 W Maple St,Kalamazoo,MI,49008,Lot/Land For Sale,"$23,2008,276 sqft lot; 16 days on Zillow·1035 W Maple St, Kalamazoo, MI; Evenboer-Walton, REALTORS",232008276,4 photos,4,https://photos.zillowstatic.com/p_e/IS6ytnu26uvnmg0000000000.jpg,4
Sagebrush St # W0V2YW,Kalamazoo,MI,49006,New Construction,"$271,900+4 bds · 3 ba · 3,420+ sqft; Allen Edwin Homes·Traditions 3400 Plan, Prairieview Farms",271900,7 photos,7,https://photos.zillowstatic.com/p_e/ISa5qsmtqkmw221000000000.jpg,4
Sagebrush St # GY6QHP,Kalamazoo,MI,49006,New Construction,"$216,900+3 bds · 3 ba · 2,393+ sqft; Allen Edwin Homes·Elements 2390 Plan, Prairieview Farms",216900,5 photos,5,https://photos.zillowstatic.com/p_e/ISqhugn6z03r221000000000.jpg,4
1321 E Stockbridge Ave,Kalamazoo,MI,49001,House For Sale,"$64,9003 bds · 1 ba · 1,282 sqft; 27 days on Zillow·1321 E Stockbridge Ave, Kalamazoo, MI",649003,22 photos,22,https://photos.zillowstatic.com/p_e/IS2bluav96rgz90000000000.jpg,4
Sagebrush St # M5OZX0,Kalamazoo,MI,49006,New Construction,"$180,900+3 bds · 2 ba · 2,040+ sqft; Allen Edwin Homes·Classics 2040 Plan, Prairieview Farms",180900,5 photos,5,https://photos.zillowstatic.com/p_e/ISewhruvbclpg81000000000.jpg,4
Sagebrush St # TVCOH8,Kalamazoo,MI,49006,New Construction,"$191,900+3 bds · 3 ba · 1,702+ sqft; Allen Edwin Homes·Elements 1700 Plan, Prairieview Farms",191900,5 photos,5,https://photos.zillowstatic.com/p_e/ISuk74ql3uepa81000000000.jpg,4
Sagebrush St # U7ZY4F,Kalamazoo,MI,49006,New Construction,"$191,900+3 bds · 3 ba · 1,682+ sqft; Allen Edwin Homes·Elements 1680 Plan, Prairieview Farms",191900,5 photos,5,https://photos.zillowstatic.com/p_e/ISyfqir7vfjsm81000000000.jpg,4
Sagebrush St # T7Y0FL,Kalamazoo,MI,49006,New Construction,"$207,900+3 bds · 3 ba · 2,246+ sqft; Allen Edwin Homes·Elements 2200 Plan, Prairieview Farms",207900,7 photos,7,https://photos.zillowstatic.com/p_e/IS2j3u0s2yarbp0000000000.jpg,4
Sagebrush St # WFPJ0K,Kalamazoo,MI,49006,New Construction,"$240,900+3 bds · 3 ba · 2,780+ sqft; Allen Edwin Homes·Traditions 2800 Plan, Prairieview Farms",240900,5 photos,5,https://photos.zillowstatic.com/p_e/ISesitd7pbuemq0000000000.jpg,4
2748 Cloyster Ct,Kalamazoo,MI,49008,House For Sale,"$365,0004 bds · 3 ba · 3,169 sqft; 10 days on Zillow·2748 Cloyster Ct, Kalamazoo, MI; Jaqua REALTORS",3650004,29 photos,29,https://photos.zillowstatic.com/p_e/ISm6j16c3p03th0000000000.jpg,4
3311 Konkle St,Kalamazoo,MI,49001,House For Sale,"$72,0003 bds · 1 ba · 922 sqft; 101 days on Zillow·3311 Konkle St, Kalamazoo, MI; Sharp Realty, Inc",720003,13 photos,13,https://photos.zillowstatic.com/p_e/ISa9peyhs4eljm1000000000.jpg,4
Konkle St,Kalamazoo,MI,49001,Pre-Foreclosure (Auction),-- bds · -- ba · -- sqft; 18 days on Zillow·Sign in for details,,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.259000,-85.554000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",4
Sagebrush St # VAHJNO,Kalamazoo,MI,49006,New Construction,"$192,900+3 bds · 2 ba · 1,412+ sqft; Allen Edwin Homes·Elements 1400 Plan, Prairieview Farms",192900,6 photos,6,https://photos.zillowstatic.com/p_e/ISu47tcakizlh21000000000.jpg,4
Sagebrush St # WIEKZ6,Kalamazoo,MI,49006,New Construction,"$230,900+3 bds · 3 ba · 2,330+ sqft; Allen Edwin Homes·Traditions 2330 Plan, Prairieview Farms",230900,5 photos,5,https://photos.zillowstatic.com/p_e/IS6mghv0l3mhmq0000000000.jpg,4
745 Forest St,Kalamazoo,MI,49008,Apartment For Sale,"$97,900Studio · -- ba · 1,629 sqft; 17 days on Zillow·745 Forest St, Kalamazoo, MI",97900,14 photos,14,https://photos.zillowstatic.com/p_e/ISuspf1vhboleh1000000000.jpg,4
Sagebrush St # WIDB0S,Kalamazoo,MI,49006,New Construction,"$246,900+3 bds · 2 ba · 2,300+ sqft; Allen Edwin Homes·Traditions 2350 Plan, Prairieview Farms",246900,5 photos,5,https://photos.zillowstatic.com/p_e/ISmaybfbctga4p0000000000.jpg,4
Sagebrush St # MAD2PP,Kalamazoo,MI,49006,New Construction,"$281,900+4 bds · 3 ba · 3,423+ sqft; Allen Edwin Homes·Traditions 3390 Plan, Prairieview Farms",281900,5 photos,5,https://photos.zillowstatic.com/p_e/ISynws5d39bo221000000000.jpg,5
1720 Dorchester Ave,Kalamazoo,MI,49001,Apartment For Sale,"$199,999Studio · -- ba · 2,960 sqft; 28 days on Zillow·1720 Dorchester Ave, Kalamazoo, MI; Five Star Real Estate (Grandv)",199999,12 photos,12,https://photos.zillowstatic.com/p_e/ISqtzoiwyt39wa1000000000.jpg,5
